id,modified,datasetid,institutioncode,collectioncode,eventid,datecollected,seasoncollected,yearcollected,startyearcollected,endyearcollected,monthcollected,startmonthcollected,endmonthcollected,daycollected,startdaycollected,enddaycollected,timeofday,starttimeofday,endtimeofday,timezone,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,startdecimallatitude,enddecimallatitude,coordinateuncertaintyinmeters,georeferenceprotocol,minimumdepthinmeters,maximumdepthinmeters,occurrenceid,scientificname,scientificnameid,aphiaid,rankname,scientificnameaccepted,scientificnameauthorship,aphiaidaccepted,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,occurrenceremarks,basisofrecord,typestatus,catalognumber,references,recordedby,identifiedby,yearidentified,monthidentified,dayidentified,preparations,samplingeffort,samplingprotocol,qc,datageneralizations,eventremarks,locationremarks,associatedsequences,associatedmedia,organismid,geodeticdatum,dynamicproperties,identificationverificationstatus,identificationreferences,organismquantity,organismquantitytype,samplesizevalue,samplesizeunit,materialsampleid,taxonconceptid,"BedAbund (#/m^2)","BedWetWtBiom (g/m^2)"
44586559,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_197","Rissoa membranacea",urn:lsid:marinespecies.org:taxname:141359,http://marinespecies.org/aphia.php?p=taxdetails&id=141359,Species,"Rissoa membranacea","(J. Adams, 1800)",http://marinespecies.org/aphia.php?p=taxdetails&id=141359,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,membranacea,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_26",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.268
44586561,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_169","Gammarus olivii",urn:lsid:marinespecies.org:taxname:102286,http://marinespecies.org/aphia.php?p=taxdetails&id=102286,Species,"Marinogammarus olivii","(H. Milne Edwards, 1830)",http://marinespecies.org/aphia.php?p=taxdetails&id=1381355,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Marinogammarus,,olivii,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_192",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.188
44586563,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_176","Iphinoe tenella",urn:lsid:marinespecies.org:taxname:110461,http://marinespecies.org/aphia.php?p=taxdetails&id=110461,Species,"Iphinoe tenella","Sars, 1878",http://marinespecies.org/aphia.php?p=taxdetails&id=110461,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Iphinoe,,tenella,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_199",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,28,0.08
44586565,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_172","Idotea baltica",urn:lsid:marinespecies.org:taxname:325483,http://marinespecies.org/aphia.php?p=taxdetails&id=325483,Species,"Idotea balthica","(Pallas, 1772)",http://marinespecies.org/aphia.php?p=taxdetails&id=119039,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,balthica,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_195",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.648
44586567,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_170","Heterotanais gurneyi",urn:lsid:marinespecies.org:taxname:136462,http://marinespecies.org/aphia.php?p=taxdetails&id=136462,Species,"Heterotanais oerstedii","(Krøyer, 1842)",http://marinespecies.org/aphia.php?p=taxdetails&id=136466,Animalia,Arthropoda,Malacostraca,Tanaidacea,Leptocheliidae,Heterotanais,,oerstedii,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_193",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.028
44586569,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_104","Glycera tridactyla",urn:lsid:marinespecies.org:taxname:130130,http://marinespecies.org/aphia.php?p=taxdetails&id=130130,Species,"Glycera tridactyla","Schmarda, 1861",http://marinespecies.org/aphia.php?p=taxdetails&id=130130,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,tridactyla,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_117",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,4.16
44586571,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_164","Diogenes pugilator",urn:lsid:marinespecies.org:taxname:107199,http://marinespecies.org/aphia.php?p=taxdetails&id=107199,Species,"Diogenes pugilator","(Roux, 1829)",http://marinespecies.org/aphia.php?p=taxdetails&id=107199,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Diogenes,,pugilator,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_186",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,48,8.328
44586573,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_153","Ampithoe vaillanti",urn:lsid:marinespecies.org:taxname:102004,http://marinespecies.org/aphia.php?p=taxdetails&id=102004,Species,"Ampithoe ramondi","Audouin, 1826",http://marinespecies.org/aphia.php?p=taxdetails&id=102000,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,ramondi,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_174",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,64,0.636
44586575,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_152","Ampelisca diadema",urn:lsid:marinespecies.org:taxname:101896,http://marinespecies.org/aphia.php?p=taxdetails&id=101896,Species,"Ampelisca diadema","(Costa, 1853)",http://marinespecies.org/aphia.php?p=taxdetails&id=101896,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,diadema,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_173",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.544
44586577,2017-08-04T12:04:57.967,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=2886,"IBSS NASU","Benthic data from Sevastopol",,1986-07-01T00:00:00,summer,1986,,,7,,,,,,,,,,"Europe, Atlantic ocean, Black Sea",Ukraine,"Crimea peninsula",Sevastopol,,BSUaSb13_0786,33.38,,,44.58,,,,,5,,"IBSS NASU_Benthic data from Sevastopol_13","Harmothoe imbricata",urn:lsid:marinespecies.org:taxname:130769,http://marinespecies.org/aphia.php?p=taxdetails&id=130769,Species,"Harmothoe imbricata","(Linnaeus, 1767)",http://marinespecies.org/aphia.php?p=taxdetails&id=130769,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,imbricata,,,HumanObservation,,"IBSS NASU_Benthic data from Sevastopol_121",,,,,,,,"Sample area=0,25m2","Sampling instrument: Sieve size=1,0mm",18116223,,,,,,,,,,,,,,,,,16,0.168
