seasoncollected,phylum,yearcollected
summer,Mollusca,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Annelida,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Annelida,1986
summer,Mollusca,1986
summer,Annelida,1986
summer,Mollusca,1986
summer,Mollusca,1986
summer,Mollusca,1986
summer,Arthropoda,1986
summer,Annelida,1986
summer,Annelida,1986
summer,Annelida,1986
summer,Cnidaria,1986
summer,Annelida,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Mollusca,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Mollusca,1986
summer,Mollusca,1986
summer,Annelida,1986
summer,Mollusca,1986
summer,Mollusca,1986
summer,Arthropoda,1986
summer,Mollusca,1986
summer,Cnidaria,1986
summer,Mollusca,1986
summer,Annelida,1986
summer,Annelida,1986
summer,Arthropoda,1986
summer,Arthropoda,1986
summer,Annelida,1986
summer,Annelida,1986
summer,Annelida,1986
summer,Mollusca,1986
summer,Annelida,1986
summer,Arthropoda,1986
summer,Echinodermata,1986
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Mollusca,1982
summer,Annelida,1982
summer,Mollusca,1982
summer,Mollusca,1982
summer,Mollusca,1982
summer,Mollusca,1982
summer,Mollusca,1982
summer,Mollusca,1985
summer,Annelida,1982
summer,Annelida,1982
summer,Annelida,1982
summer,Annelida,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Mollusca,1982
summer,Annelida,1982
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1982
summer,Mollusca,1985
summer,Mollusca,1982
summer,Mollusca,1982
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1982
summer,Annelida,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Arthropoda,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Cnidaria,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Cnidaria,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Annelida,1988
summer,Annelida,1988
summer,Mollusca,1988
summer,Annelida,1988
summer,Mollusca,1988
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Arthropoda,1985
summer,Mollusca,1985
summer,Arthropoda,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Annelida,1985
summer,Mollusca,1985
summer,Mollusca,1992
summer,Annelida,1992
summer,Annelida,1992
summer,Annelida,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Arthropoda,1992
summer,Mollusca,1992
