seasoncollected,yearcollected,waterbody,decimallongitude,decimallatitude,scientificname,rankname,scientificnameaccepted,scientificnameauthorship,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,sea
spring,1994,Baltic Sea,13.425,55.22333333,Capitella,Genus,Capitella,"Blainville, 1828",Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Macoma balthica,Species,Macoma balthica,"(Linnaeus, 1758)",Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,,balthica,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Bacillariophyceae,Class,Bacillariophyceae,"Haeckel, 1878",Chromista,Ochrophyta,Bacillariophyceae,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Nemertea,Phylum,Nemertea,,Animalia,Nemertea,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Cladocera,Superorder,Diplostraca,"Gerstaecker, 1866",Animalia,Arthropoda,Branchiopoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Foraminifera,Phylum,Foraminifera,"d'Orbigny, 1826",Chromista,Foraminifera,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Harpacticoida,Order,Harpacticoida,"Sars G.O., 1903",Animalia,Arthropoda,Copepoda,Harpacticoida,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Halicryptus,Genus,Halicryptus,"von Siebold, 1849",Animalia,Priapulida,,Halicryptomorpha,Halicryptidae,Halicryptus,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Arachnida,Class,Arachnida,"Cuvier, 1812",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Nematoda,Phylum,Nematoda,,Animalia,Nematoda,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Copepoda,Class,Copepoda,"Milne Edwards, 1840",Animalia,Arthropoda,Copepoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Copepoda,Class,Copepoda,"Milne Edwards, 1840",Animalia,Arthropoda,Copepoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,13.425,55.22333333,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Diastylis,Genus,Diastylis,"Say, 1818",Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Ostracoda,Class,Ostracoda,"Latreille, 1802",Animalia,Arthropoda,Ostracoda,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Harmothoe,Genus,Harmothoe,"Kinberg, 1856",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Mytilus edulis,Species,Mytilus edulis,"Linnaeus, 1758",Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Ampharete,Genus,Ampharete,"Malmgren, 1865",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Biota,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Turbellaria,,,,,,,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Acari,Subclass,Acari,"Leach, 1817",Animalia,Arthropoda,Arachnida,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Polychaeta,Class,Polychaeta,"Grube, 1850",Animalia,Annelida,Polychaeta,,,,,,Baltic Sea
spring,1994,Baltic Sea,14.70833333,55.68,Pontoporeia femorata,Species,Pontoporeia femorata,"Krøyer, 1842",Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Pontoporeia,,femorata,Baltic Sea
