seasoncollected,yearcollected,waterbody,scientificname,phylum
summer,1992,Mediterranean sea,Musculus costulatus,Mollusca
summer,1992,Mediterranean sea,Clanculus jussieui,Mollusca
summer,1992,Mediterranean sea,Auristomia erjaveciana,Mollusca
summer,1992,Mediterranean sea,Nassarius corniculum,Mollusca
summer,1992,Mediterranean sea,Nassarius incrassatus,Mollusca
summer,1992,Mediterranean sea,Alvania rudis,Mollusca
summer,1992,Mediterranean sea,Skeneopsis planorbis,Mollusca
summer,1992,Mediterranean sea,Calliostoma laugieri,Mollusca
summer,1992,Mediterranean sea,Jujubinus ruscurianus,Mollusca
summer,1992,Mediterranean sea,Gibbula tingitana,Mollusca
summer,1992,Mediterranean sea,Kurtiella bidentata,Mollusca
summer,1992,Mediterranean sea,Vitreolina philippi,Mollusca
summer,1992,Mediterranean sea,Hiatella arctica,Mollusca
summer,1992,Mediterranean sea,Limacia clavigera,Mollusca
summer,1992,Mediterranean sea,Tricolia pullus,Mollusca
summer,1992,Mediterranean sea,Aplysia punctata,Mollusca
summer,1992,Mediterranean sea,Alvania parvula,Mollusca
summer,1992,Mediterranean sea,Hexaplex trunculus,Mollusca
summer,1992,Mediterranean sea,Cerithiopsis tubercularis,Mollusca
summer,1992,Mediterranean sea,Jordaniella nivosa,Mollusca
summer,1992,Mediterranean sea,Goniodoris castanea,Mollusca
summer,1992,Mediterranean sea,Rissoa similis,Mollusca
summer,1992,Mediterranean sea,Tricolia tingitana,Mollusca
summer,1992,Mediterranean sea,Limaria loscombi,Mollusca
summer,1992,Mediterranean sea,Odostomia striolata,Mollusca
summer,1992,Mediterranean sea,Melanella lubrica,Mollusca
summer,1992,Mediterranean sea,Odostomia lukisii,Mollusca
summer,1992,Mediterranean sea,Turbonilla pumila,Mollusca
summer,1992,Mediterranean sea,Calyptraea chinensis,Mollusca
summer,1992,Mediterranean sea,Pisinna glabrata,Mollusca
summer,1992,Mediterranean sea,Mitrella bruggeni,Mollusca
summer,1992,Mediterranean sea,Barleeia unifasciata,Mollusca
summer,1992,Mediterranean sea,Chauvetia brunnea,Mollusca
summer,1992,Mediterranean sea,Nodulus contortus,Mollusca
summer,1992,Mediterranean sea,Alvania scabra,Mollusca
summer,1992,Mediterranean sea,Rissoa guerinii,Mollusca
summer,1992,Mediterranean sea,Placida verticilata,Mollusca
summer,1992,Mediterranean sea,Parvicardium vroomi,Mollusca
summer,1992,Mediterranean sea,Ocinebrina edwardsii,Mollusca
summer,1992,Mediterranean sea,Vexillum ebenus,Mollusca
summer,1992,Mediterranean sea,Bittium latreillii,Mollusca
summer,1992,Mediterranean sea,Gibberula jansseni,Mollusca
summer,1992,Mediterranean sea,Mitromorpha wilhelminae,Mollusca
summer,1992,Mediterranean sea,Bittium reticulatum,Mollusca
summer,1992,Mediterranean sea,Eatonina fulgida,Mollusca
summer,1992,Mediterranean sea,Setia amabilis,Mollusca
summer,1992,Mediterranean sea,Centrocardita aculeata,Mollusca
summer,1992,Mediterranean sea,Favorinus branchialis,Mollusca
summer,1992,Mediterranean sea,Alvania spinosa,Mollusca
summer,1992,Mediterranean sea,Runcina coronata,Mollusca
summer,1992,Mediterranean sea,Vexillum tricolor,Mollusca
summer,1992,Mediterranean sea,Runcina ferruginea,Mollusca
summer,1992,Mediterranean sea,Haminoea exigua,Mollusca
summer,1992,Mediterranean sea,Ocinebrina aciculata,Mollusca
summer,1992,Mediterranean sea,Bittium submamillatum,Mollusca
summer,1992,Mediterranean sea,Flabellina pedata,Mollusca
summer,1992,Mediterranean sea,Cerithium vulgatum,Mollusca
summer,1992,Mediterranean sea,Petricola lithophaga,Mollusca
summer,1992,Mediterranean sea,Retusa truncatula,Mollusca
summer,1992,Mediterranean sea,Rissoella diaphana,Mollusca
summer,1992,Mediterranean sea,Alvania discors,Mollusca
summer,1992,Mediterranean sea,Rissoa lilacina,Mollusca
summer,1992,Mediterranean sea,Anomia ephippium,Mollusca
summer,1992,Mediterranean sea,Aplysia parvula,Mollusca
summer,1992,Mediterranean sea,Rissoella opalina,Mollusca
summer,1992,Mediterranean sea,Tricolia entomocheila,Mollusca
summer,1992,Mediterranean sea,Pusillina radiata,Mollusca
summer,1992,Mediterranean sea,Modiolula phaseolina,Mollusca
summer,1992,Mediterranean sea,Nassarius cuvierii,Mollusca
summer,1992,Mediterranean sea,Cardita calyculata,Mollusca
summer,1992,Mediterranean sea,Elysia viridis,Mollusca
summer,1992,Mediterranean sea,Odostomia kromi,Mollusca
winter,1984,Mediterranean sea,Pollia dorbignyi,Mollusca
winter,1984,Mediterranean sea,Nassarius incrassatus,Mollusca
winter,1984,Mediterranean sea,Felimare tricolor,Mollusca
winter,1984,Mediterranean sea,Mimachlamys varia,Mollusca
winter,1984,Mediterranean sea,Lasaea adansoni,Mollusca
winter,1984,Mediterranean sea,Striarca lactea,Mollusca
winter,1984,Mediterranean sea,Gibbula turbinoides,Mollusca
winter,1984,Mediterranean sea,Cosmotriphora melanura,Mollusca
winter,1984,Mediterranean sea,Calliostoma laugieri,Mollusca
winter,1984,Mediterranean sea,Clanculus jussieui,Mollusca
winter,1984,Mediterranean sea,Cerithiopsis scalaris,Mollusca
winter,1984,Mediterranean sea,Diodora graeca,Mollusca
winter,1984,Mediterranean sea,Emarginula octaviana,Mollusca
winter,1984,Mediterranean sea,Musculus costulatus,Mollusca
winter,1984,Mediterranean sea,Coralliophila meyendorffii,Mollusca
winter,1984,Mediterranean sea,Aplysia punctata,Mollusca
winter,1984,Mediterranean sea,Limaria hians,Mollusca
winter,1984,Mediterranean sea,Hiatella arctica,Mollusca
winter,1984,Mediterranean sea,Emarginula huzardii,Mollusca
winter,1984,Mediterranean sea,Modiolus barbatus,Mollusca
winter,1984,Mediterranean sea,Aequipecten opercularis,Mollusca
winter,1984,Mediterranean sea,Calmella cavolini,Mollusca
winter,1984,Mediterranean sea,Mitrella gervillii,Mollusca
winter,1984,Mediterranean sea,Jujubinus exasperatus,Mollusca
winter,1984,Mediterranean sea,Cratena peregrina,Mollusca
winter,1984,Mediterranean sea,Musculus marmoratus,Mollusca
winter,1984,Mediterranean sea,Clanculus corallinus,Mollusca
winter,1984,Mediterranean sea,Gari depressa,Mollusca
winter,1984,Mediterranean sea,Diodora gibberula,Mollusca
winter,1984,Mediterranean sea,Lima lima,Mollusca
winter,1984,Mediterranean sea,Acanthochitona fascicularis,Mollusca
winter,1984,Mediterranean sea,Tritonia manicata,Mollusca
winter,1984,Mediterranean sea,Pollia scacchiana,Mollusca
winter,1984,Mediterranean sea,Felimare villafranca,Mollusca
winter,1984,Mediterranean sea,Chauvetia brunnea,Mollusca
winter,1984,Mediterranean sea,Alvania cimex,Mollusca
winter,1984,Mediterranean sea,Monophorus perversus,Mollusca
winter,1984,Mediterranean sea,Barbatia barbata,Mollusca
winter,1984,Mediterranean sea,Cerithiopsis minima,Mollusca
winter,1984,Mediterranean sea,Mytilus galloprovincialis,Mollusca
winter,1984,Mediterranean sea,Patella ulyssiponensis,Mollusca
winter,1984,Mediterranean sea,Columbella rustica,Mollusca
winter,1984,Mediterranean sea,Phyllaplysia lafonti,Mollusca
winter,1984,Mediterranean sea,Callochiton septemvalvis,Mollusca
winter,1984,Mediterranean sea,Muricopsis cristata,Mollusca
winter,1984,Mediterranean sea,Rocellaria dubia,Mollusca
winter,1984,Mediterranean sea,Talochlamys multistriata,Mollusca
winter,1984,Mediterranean sea,Lepidochitona caprearum,Mollusca
winter,1984,Mediterranean sea,Thuridilla hopei,Mollusca
winter,1984,Mediterranean sea,Arca noae,Mollusca
winter,1984,Mediterranean sea,Bittium reticulatum,Mollusca
winter,1984,Mediterranean sea,Tylodina perversa,Mollusca
winter,1984,Mediterranean sea,Ostrea edulis,Mollusca
winter,1984,Mediterranean sea,Flabellina affinis,Mollusca
winter,1984,Mediterranean sea,Ocinebrina edwardsii,Mollusca
winter,1984,Mediterranean sea,Chauvetia mamillata,Mollusca
winter,1984,Mediterranean sea,Pseudochama gryphina,Mollusca
winter,1984,Mediterranean sea,Caloria elegans,Mollusca
winter,1984,Mediterranean sea,Ocinebrina aciculata,Mollusca
