seasoncollected,yearcollected,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,scientificname,rankname,kingdom,phylum,class,order,family,genus,subgenus,specificepithet
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Musculus costulatus,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,,costulatus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Clanculus jussieui,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Clanculus,,jussieui
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Auristomia erjaveciana,Species,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Auristomia,,erjaveciana
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Nassarius corniculum,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,corniculum
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Nassarius incrassatus,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,incrassata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Alvania rudis,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,rudis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Skeneopsis planorbis,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Skeneopsidae,Skeneopsis,,planorbis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Calliostoma laugieri,Species,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,,laugieri
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Jujubinus ruscurianus,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Jujubinus,,ruscurianus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Gibbula tingitana,Species,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Jujubinus,,tingitanus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Kurtiella bidentata,Species,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,,bidentata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Vitreolina philippi,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Vitreolina,,philippi
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Hiatella arctica,Species,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,,arctica
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Limacia clavigera,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Limacia,,clavigera
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Tricolia pullus,Species,Animalia,Mollusca,Gastropoda,Trochida,Phasianellidae,Tricolia,,pullus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Aplysia punctata,Species,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,,punctata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Alvania parvula,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,parvula
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Hexaplex trunculus,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Hexaplex,,trunculus
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Cerithiopsis tubercularis,Species,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Cerithiopsidae,Cerithiopsis,,tubercularis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Jordaniella nivosa,Species,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Jordaniella,,nivosa
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Goniodoris castanea,Species,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Goniodoris,,castanea
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Rissoa similis,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Rissoa,,similis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Tricolia tingitana,Species,Animalia,Mollusca,Gastropoda,Trochida,Phasianellidae,Tricolia,,tingitana
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Limaria loscombi,Species,Animalia,Mollusca,Bivalvia,Limida,Limidae,Limaria,,loscombi
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Odostomia striolata,Species,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Odostomia,,striolata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Melanella lubrica,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Melanella,,lubrica
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Odostomia lukisii,Species,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Odostomia,,lukisii
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Turbonilla pumila,Species,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Turbonilla,,pumila
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Calyptraea chinensis,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Calyptraea,,chinensis
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Pisinna glabrata,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Anabathridae,Pisinna,,glabrata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Mitrella bruggeni,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,,bruggeni
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Barleeia unifasciata,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Barleeiidae,Barleeia,,unifasciata
summer,1992,Mediterranean sea,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,Chauvetia brunnea,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Chauvetiidae,Chauvetia,,brunnea
