id,modified,datasetid,institutioncode,collectioncode,eventid,datecollected,seasoncollected,yearcollected,startyearcollected,endyearcollected,monthcollected,startmonthcollected,endmonthcollected,daycollected,startdaycollected,enddaycollected,timeofday,starttimeofday,endtimeofday,timezone,waterbody,country,stateprovince,county,recordnumber,fieldnumber,decimallongitude,startdecimallongitude,enddecimallongitude,decimallatitude,startdecimallatitude,enddecimallatitude,coordinateuncertaintyinmeters,georeferenceprotocol,minimumdepthinmeters,maximumdepthinmeters,occurrenceid,scientificname,scientificnameid,aphiaid,rankname,scientificnameaccepted,scientificnameauthorship,aphiaidaccepted,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,occurrenceremarks,basisofrecord,typestatus,catalognumber,references,recordedby,identifiedby,yearidentified,monthidentified,dayidentified,preparations,samplingeffort,samplingprotocol,qc,datageneralizations,eventremarks,locationremarks,associatedsequences,associatedmedia,organismid,geodeticdatum,dynamicproperties,identificationverificationstatus,identificationreferences,organismquantity,organismquantitytype,samplesizevalue,samplesizeunit,materialsampleid,taxonconceptid
10162256,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-331,Musculus costulatus,urn:lsid:marinespecies.org:taxname:140471,http://marinespecies.org/aphia.php?p=taxdetails&id=140471,Species,Musculus costulatus,"(Risso, 1826)",http://marinespecies.org/aphia.php?p=taxdetails&id=140471,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,,costulatus,,Sanchez et al. 2000; Name in original file: Musculus costulatus,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-331,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162257,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-784,Clanculus jussieui,urn:lsid:marinespecies.org:taxname:141773,http://marinespecies.org/aphia.php?p=taxdetails&id=141773,Species,Clanculus jussieui,"(Payraudeau, 1826)",http://marinespecies.org/aphia.php?p=taxdetails&id=141773,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Clanculus,,jussieui,,Sanchez et al. 2000; Name in original file: Clanculus jussieui,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-784,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162258,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-513,Auristomia erjaveciana,urn:lsid:marinespecies.org:taxname:836193,http://marinespecies.org/aphia.php?p=taxdetails&id=836193,Species,Auristomia erjaveciana,"(Brusina, 1869)",http://marinespecies.org/aphia.php?p=taxdetails&id=836193,Animalia,Mollusca,Gastropoda,,Pyramidellidae,Auristomia,,erjaveciana,,Sanchez et al. 2000; Name in original file: Odostomia erjaveciana,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-513,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162259,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-306,Nassarius corniculum,urn:lsid:marinespecies.org:taxname:140494,http://marinespecies.org/aphia.php?p=taxdetails&id=140494,Species,Tritia corniculum,"(Olivi, 1792)",http://marinespecies.org/aphia.php?p=taxdetails&id=876831,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,corniculum,,Sanchez et al. 2000; Name in original file: Amyclina corniculum,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-306,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162260,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-740,Nassarius incrassatus,urn:lsid:marinespecies.org:taxname:140503,http://marinespecies.org/aphia.php?p=taxdetails&id=140503,Species,Tritia incrassata,"(Strøm, 1768)",http://marinespecies.org/aphia.php?p=taxdetails&id=876825,Animalia,Mollusca,Gastropoda,Neogastropoda,Nassariidae,Tritia,,incrassata,,Sanchez et al. 2000; Name in original file: Nassarius incrassatus,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-740,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162261,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-1278,Alvania rudis,urn:lsid:marinespecies.org:taxname:141232,http://marinespecies.org/aphia.php?p=taxdetails&id=141232,Species,Alvania rudis,"(R. A. Philippi, 1844)",http://marinespecies.org/aphia.php?p=taxdetails&id=141232,Animalia,Mollusca,Gastropoda,Littorinimorpha,Rissoidae,Alvania,,rudis,,Sanchez et al. 2000; Name in original file: Alvania rudis,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-1278,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162262,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-1178,Skeneopsis planorbis,urn:lsid:marinespecies.org:taxname:141539,http://marinespecies.org/aphia.php?p=taxdetails&id=141539,Species,Skeneopsis planorbis,"(O. Fabricius, 1780)",http://marinespecies.org/aphia.php?p=taxdetails&id=141539,Animalia,Mollusca,Gastropoda,Littorinimorpha,Skeneopsidae,Skeneopsis,,planorbis,,Sanchez et al. 2000; Name in original file: Skeneopsis planorbis,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-1178,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162263,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-826,Calliostoma laugieri,urn:lsid:marinespecies.org:taxname:141759,http://marinespecies.org/aphia.php?p=taxdetails&id=141759,Species,Calliostoma laugieri,"(Payraudeau, 1826)",http://marinespecies.org/aphia.php?p=taxdetails&id=141759,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,,laugieri,,Sanchez et al. 2000; Name in original file: Calliostoma laugieri,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-826,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162264,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-1298,Jujubinus ruscurianus,urn:lsid:marinespecies.org:taxname:141814,http://marinespecies.org/aphia.php?p=taxdetails&id=141814,Species,Jujubinus ruscurianus,"(Weinkauff, 1868)",http://marinespecies.org/aphia.php?p=taxdetails&id=141814,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Jujubinus,,ruscurianus,,Sanchez et al. 2000; Name in original file: Jujubinus ruscurianus,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-1298,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162265,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-1496,Gibbula tingitana,urn:lsid:marinespecies.org:taxname:141798,http://marinespecies.org/aphia.php?p=taxdetails&id=141798,Species,Jujubinus tingitanus,"(Pallary, 1902)",http://marinespecies.org/aphia.php?p=taxdetails&id=1476126,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Jujubinus,,tingitanus,,Sanchez et al. 2000; Name in original file: Gibbula tingitana,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-1496,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162266,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-152,Kurtiella bidentata,urn:lsid:marinespecies.org:taxname:345281,http://marinespecies.org/aphia.php?p=taxdetails&id=345281,Species,Kurtiella bidentata,"(Montagu, 1803)",http://marinespecies.org/aphia.php?p=taxdetails&id=345281,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,,bidentata,,Sanchez et al. 2000; Name in original file: Mysella bidentata,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-152,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162267,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-1160,Vitreolina philippi,urn:lsid:marinespecies.org:taxname:139903,http://marinespecies.org/aphia.php?p=taxdetails&id=139903,Species,Vitreolina philippi,"(de Rayneval & Ponzi, 1854)",http://marinespecies.org/aphia.php?p=taxdetails&id=139903,Animalia,Mollusca,Gastropoda,Littorinimorpha,Eulimidae,Vitreolina,,philippi,,Sanchez et al. 2000; Name in original file: Vitreolina philippii,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-1160,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
10162268,2021-07-06T10:44:36.62,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=6701,,Mollusca fauna from the Mediterranean reef ecosystem (1170 habitat),Bay of Algeciras_1992-1993_3-5,,,,1992,1993,,,,,,,,,,,,,,,,Bay of Algeciras_1992-1993_3-5,-5.418617,,,36.132321,,,,,3,5,SPA-Mollusca_Mediterranean_LiteratureData-76,Hiatella arctica,urn:lsid:marinespecies.org:taxname:140103,http://marinespecies.org/aphia.php?p=taxdetails&id=140103,Species,Hiatella arctica,"(Linnaeus, 1767)",http://marinespecies.org/aphia.php?p=taxdetails&id=140103,Animalia,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Hiatella,,arctica,,Sanchez et al. 2000; Name in original file: Hiatella arctica,HumanObservation,,SPA-Mollusca_Mediterranean_LiteratureData-76,,,,,,,,,,18222719,,,,,,,,,,,,,,,,
