seasoncollected,phylum,yearcollected
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
summer,Mollusca,1992
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
winter,Mollusca,1984
